seq_index,filename,ndtiff_file,column,row,z,x_px,y_px
123,0123.tif,new_NDTiffStack.tif,5,2,0,9216.000,3686.400
124,0124.tif,new_NDTiffStack.tif,5,1,0,9216.000,1843.200
125,0125.tif,new_NDTiffStack.tif,5,0,0,9216.000,0.000
126,0126.tif,new_NDTiffStack.tif,6,0,0,11059.200,0.000
127,0127.tif,new_NDTiffStack.tif,6,1,0,11059.200,1843.200
128,0128.tif,new_NDTiffStack.tif,6,2,0,11059.200,3686.400
129,0129.tif,new_NDTiffStack.tif,6,3,0,11059.200,5529.600
130,0130.tif,new_NDTiffStack.tif,6,4,0,11059.200,7372.800
131,0131.tif,new_NDTiffStack.tif,6,5,0,11059.200,9216.000
132,0132.tif,new_NDTiffStack.tif,6,6,0,11059.200,11059.200
133,0133.tif,new_NDTiffStack.tif,6,7,0,11059.200,12902.400
134,0134.tif,new_NDTiffStack.tif,6,8,0,11059.200,14745.600
135,0135.tif,new_NDTiffStack.tif,6,9,0,11059.200,16588.800
136,0136.tif,new_NDTiffStack.tif,6,10,0,11059.200,18432.000
137,0137.tif,new_NDTiffStack.tif,6,11,0,11059.200,20275.200
138,0138.tif,new_NDTiffStack.tif,6,12,0,11059.200,22118.400
139,0139.tif,new_NDTiffStack.tif,6,13,0,11059.200,23961.600
140,0140.tif,new_NDTiffStack.tif,6,14,0,11059.200,25804.800
141,0141.tif,new_NDTiffStack.tif,6,15,0,11059.200,27648.000
142,0142.tif,new_NDTiffStack.tif,6,16,0,11059.200,29491.200
143,0143.tif,new_NDTiffStack.tif,6,17,0,11059.200,31334.400
144,0144.tif,new_NDTiffStack.tif,6,18,0,11059.200,33177.600
145,0145.tif,new_NDTiffStack.tif,6,19,0,11059.200,35020.800
146,0146.tif,new_NDTiffStack.tif,6,20,0,11059.200,36864.000
147,0147.tif,new_NDTiffStack.tif,7,20,0,12902.400,36864.000
148,0148.tif,new_NDTiffStack.tif,7,19,0,12902.400,35020.800
149,0149.tif,new_NDTiffStack.tif,7,18,0,12902.400,33177.600
150,0150.tif,new_NDTiffStack.tif,7,17,0,12902.400,31334.400
151,0151.tif,new_NDTiffStack.tif,7,16,0,12902.400,29491.200
152,0152.tif,new_NDTiffStack.tif,7,15,0,12902.400,27648.000
153,0153.tif,new_NDTiffStack.tif,7,14,0,12902.400,25804.800
154,0154.tif,new_NDTiffStack.tif,7,13,0,12902.400,23961.600
155,0155.tif,new_NDTiffStack.tif,7,12,0,12902.400,22118.400
156,0156.tif,new_NDTiffStack.tif,7,11,0,12902.400,20275.200
157,0157.tif,new_NDTiffStack.tif,7,10,0,12902.400,18432.000
158,0158.tif,new_NDTiffStack.tif,7,9,0,12902.400,16588.800
159,0159.tif,new_NDTiffStack.tif,7,8,0,12902.400,14745.600
160,0160.tif,new_NDTiffStack.tif,7,7,0,12902.400,12902.400
161,0161.tif,new_NDTiffStack.tif,7,6,0,12902.400,11059.200
162,0162.tif,new_NDTiffStack.tif,7,5,0,12902.400,9216.000
163,0163.tif,new_NDTiffStack.tif,7,4,0,12902.400,7372.800
164,0164.tif,new_NDTiffStack.tif,7,3,0,12902.400,5529.600
165,0165.tif,new_NDTiffStack.tif,7,2,0,12902.400,3686.400
166,0166.tif,new_NDTiffStack.tif,7,1,0,12902.400,1843.200
167,0167.tif,new_NDTiffStack.tif,7,0,0,12902.400,0.000
168,0168.tif,new_NDTiffStack.tif,8,0,0,14745.600,0.000
169,0169.tif,new_NDTiffStack.tif,8,1,0,14745.600,1843.200
170,0170.tif,new_NDTiffStack.tif,8,2,0,14745.600,3686.400
171,0171.tif,new_NDTiffStack.tif,8,3,0,14745.600,5529.600
172,0172.tif,new_NDTiffStack.tif,8,4,0,14745.600,7372.800
173,0173.tif,new_NDTiffStack.tif,8,5,0,14745.600,9216.000
174,0174.tif,new_NDTiffStack.tif,8,6,0,14745.600,11059.200
175,0175.tif,new_NDTiffStack.tif,8,7,0,14745.600,12902.400
176,0176.tif,new_NDTiffStack.tif,8,8,0,14745.600,14745.600
177,0177.tif,new_NDTiffStack.tif,8,9,0,14745.600,16588.800
178,0178.tif,new_NDTiffStack.tif,8,10,0,14745.600,18432.000
179,0179.tif,new_NDTiffStack.tif,8,11,0,14745.600,20275.200
180,0180.tif,new_NDTiffStack.tif,8,12,0,14745.600,22118.400
181,0181.tif,new_NDTiffStack.tif,8,13,0,14745.600,23961.600
182,0182.tif,new_NDTiffStack.tif,8,14,0,14745.600,25804.800
183,0183.tif,new_NDTiffStack.tif,8,15,0,14745.600,27648.000
184,0184.tif,new_NDTiffStack.tif,8,16,0,14745.600,29491.200
185,0185.tif,new_NDTiffStack.tif,8,17,0,14745.600,31334.400
186,0186.tif,new_NDTiffStack.tif,8,18,0,14745.600,33177.600
187,0187.tif,new_NDTiffStack.tif,8,19,0,14745.600,35020.800
188,0188.tif,new_NDTiffStack.tif,8,20,0,14745.600,36864.000
189,0189.tif,new_NDTiffStack.tif,9,20,0,16588.800,36864.000
190,0190.tif,new_NDTiffStack.tif,9,19,0,16588.800,35020.800
191,0191.tif,new_NDTiffStack.tif,9,18,0,16588.800,33177.600
192,0192.tif,new_NDTiffStack.tif,9,17,0,16588.800,31334.400
193,0193.tif,new_NDTiffStack.tif,9,16,0,16588.800,29491.200
194,0194.tif,new_NDTiffStack.tif,9,15,0,16588.800,27648.000
195,0195.tif,new_NDTiffStack.tif,9,14,0,16588.800,25804.800
196,0196.tif,new_NDTiffStack.tif,9,13,0,16588.800,23961.600
197,0197.tif,new_NDTiffStack.tif,9,12,0,16588.800,22118.400
198,0198.tif,new_NDTiffStack.tif,9,11,0,16588.800,20275.200
199,0199.tif,new_NDTiffStack.tif,9,10,0,16588.800,18432.000
200,0200.tif,new_NDTiffStack.tif,9,9,0,16588.800,16588.800
201,0201.tif,new_NDTiffStack.tif,9,8,0,16588.800,14745.600
202,0202.tif,new_NDTiffStack.tif,9,7,0,16588.800,12902.400
203,0203.tif,new_NDTiffStack.tif,9,6,0,16588.800,11059.200
204,0204.tif,new_NDTiffStack.tif,9,5,0,16588.800,9216.000
205,0205.tif,new_NDTiffStack.tif,9,4,0,16588.800,7372.800
206,0206.tif,new_NDTiffStack.tif,9,3,0,16588.800,5529.600
207,0207.tif,new_NDTiffStack.tif,9,2,0,16588.800,3686.400
208,0208.tif,new_NDTiffStack.tif,9,1,0,16588.800,1843.200
209,0209.tif,new_NDTiffStack.tif,9,0,0,16588.800,0.000
210,0210.tif,new_NDTiffStack.tif,10,0,0,18432.000,0.000
211,0211.tif,new_NDTiffStack.tif,10,1,0,18432.000,1843.200
212,0212.tif,new_NDTiffStack.tif,10,2,0,18432.000,3686.400
213,0213.tif,new_NDTiffStack.tif,10,3,0,18432.000,5529.600
214,0214.tif,new_NDTiffStack.tif,10,4,0,18432.000,7372.800
215,0215.tif,new_NDTiffStack.tif,10,5,0,18432.000,9216.000
216,0216.tif,new_NDTiffStack.tif,10,6,0,18432.000,11059.200
217,0217.tif,new_NDTiffStack.tif,10,7,0,18432.000,12902.400
218,0218.tif,new_NDTiffStack.tif,10,8,0,18432.000,14745.600
219,0219.tif,new_NDTiffStack.tif,10,9,0,18432.000,16588.800
220,0220.tif,new_NDTiffStack.tif,10,10,0,18432.000,18432.000
221,0221.tif,new_NDTiffStack.tif,10,11,0,18432.000,20275.200
222,0222.tif,new_NDTiffStack.tif,10,12,0,18432.000,22118.400
223,0223.tif,new_NDTiffStack.tif,10,13,0,18432.000,23961.600
224,0224.tif,new_NDTiffStack.tif,10,14,0,18432.000,25804.800
225,0225.tif,new_NDTiffStack.tif,10,15,0,18432.000,27648.000
226,0226.tif,new_NDTiffStack.tif,10,16,0,18432.000,29491.200
227,0227.tif,new_NDTiffStack.tif,10,17,0,18432.000,31334.400
228,0228.tif,new_NDTiffStack.tif,10,18,0,18432.000,33177.600
229,0229.tif,new_NDTiffStack.tif,10,19,0,18432.000,35020.800
230,0230.tif,new_NDTiffStack.tif,10,20,0,18432.000,36864.000
231,0231.tif,new_NDTiffStack.tif,11,20,0,20275.200,36864.000
232,0232.tif,new_NDTiffStack.tif,11,19,0,20275.200,35020.800
233,0233.tif,new_NDTiffStack.tif,11,18,0,20275.200,33177.600
234,0234.tif,new_NDTiffStack.tif,11,17,0,20275.200,31334.400
235,0235.tif,new_NDTiffStack.tif,11,16,0,20275.200,29491.200
236,0236.tif,new_NDTiffStack.tif,11,15,0,20275.200,27648.000
237,0237.tif,new_NDTiffStack.tif,11,14,0,20275.200,25804.800
238,0238.tif,new_NDTiffStack.tif,11,13,0,20275.200,23961.600
239,0239.tif,new_NDTiffStack.tif,11,12,0,20275.200,22118.400
240,0240.tif,new_NDTiffStack.tif,11,11,0,20275.200,20275.200
241,0241.tif,new_NDTiffStack.tif,11,10,0,20275.200,18432.000
242,0242.tif,new_NDTiffStack.tif,11,9,0,20275.200,16588.800
243,0243.tif,new_NDTiffStack.tif,11,8,0,20275.200,14745.600
244,0244.tif,new_NDTiffStack.tif,11,7,0,20275.200,12902.400
245,0245.tif,new_NDTiffStack.tif,11,6,0,20275.200,11059.200
246,0246.tif,new_NDTiffStack.tif,11,5,0,20275.200,9216.000
247,0247.tif,new_NDTiffStack.tif,11,4,0,20275.200,7372.800
248,0248.tif,new_NDTiffStack.tif,11,3,0,20275.200,5529.600
249,0249.tif,new_NDTiffStack.tif,11,2,0,20275.200,3686.400
250,0250.tif,new_NDTiffStack.tif,11,1,0,20275.200,1843.200
251,0251.tif,new_NDTiffStack.tif,11,0,0,20275.200,0.000
252,0252.tif,new_NDTiffStack.tif,12,0,0,22118.400,0.000
253,0253.tif,new_NDTiffStack.tif,12,1,0,22118.400,1843.200
254,0254.tif,new_NDTiffStack.tif,12,2,0,22118.400,3686.400
255,0255.tif,new_NDTiffStack.tif,12,3,0,22118.400,5529.600
256,0256.tif,new_NDTiffStack.tif,12,4,0,22118.400,7372.800
257,0257.tif,new_NDTiffStack.tif,12,5,0,22118.400,9216.000
258,0258.tif,new_NDTiffStack.tif,12,6,0,22118.400,11059.200
259,0259.tif,new_NDTiffStack.tif,12,7,0,22118.400,12902.400
260,0260.tif,new_NDTiffStack.tif,12,8,0,22118.400,14745.600
261,0261.tif,new_NDTiffStack.tif,12,9,0,22118.400,16588.800
262,0262.tif,new_NDTiffStack.tif,12,10,0,22118.400,18432.000
263,0263.tif,new_NDTiffStack.tif,12,11,0,22118.400,20275.200
264,0264.tif,new_NDTiffStack.tif,12,12,0,22118.400,22118.400
265,0265.tif,new_NDTiffStack.tif,12,13,0,22118.400,23961.600
266,0266.tif,new_NDTiffStack.tif,12,14,0,22118.400,25804.800
267,0267.tif,new_NDTiffStack.tif,12,15,0,22118.400,27648.000
268,0268.tif,new_NDTiffStack.tif,12,16,0,22118.400,29491.200
269,0269.tif,new_NDTiffStack.tif,12,17,0,22118.400,31334.400
270,0270.tif,new_NDTiffStack.tif,12,18,0,22118.400,33177.600
271,0271.tif,new_NDTiffStack.tif,12,19,0,22118.400,35020.800
272,0272.tif,new_NDTiffStack.tif,12,20,0,22118.400,36864.000
273,0273.tif,new_NDTiffStack.tif,13,20,0,23961.600,36864.000
274,0274.tif,new_NDTiffStack.tif,13,19,0,23961.600,35020.800
275,0275.tif,new_NDTiffStack.tif,13,18,0,23961.600,33177.600
276,0276.tif,new_NDTiffStack.tif,13,17,0,23961.600,31334.400
277,0277.tif,new_NDTiffStack.tif,13,16,0,23961.600,29491.200
278,0278.tif,new_NDTiffStack.tif,13,15,0,23961.600,27648.000
279,0279.tif,new_NDTiffStack.tif,13,14,0,23961.600,25804.800
280,0280.tif,new_NDTiffStack.tif,13,13,0,23961.600,23961.600
281,0281.tif,new_NDTiffStack.tif,13,12,0,23961.600,22118.400
282,0282.tif,new_NDTiffStack.tif,13,11,0,23961.600,20275.200
283,0283.tif,new_NDTiffStack.tif,13,10,0,23961.600,18432.000
284,0284.tif,new_NDTiffStack.tif,13,9,0,23961.600,16588.800
285,0285.tif,new_NDTiffStack.tif,13,8,0,23961.600,14745.600
286,0286.tif,new_NDTiffStack.tif,13,7,0,23961.600,12902.400
287,0287.tif,new_NDTiffStack.tif,13,6,0,23961.600,11059.200
288,0288.tif,new_NDTiffStack.tif,13,5,0,23961.600,9216.000
289,0289.tif,new_NDTiffStack.tif,13,4,0,23961.600,7372.800
290,0290.tif,new_NDTiffStack.tif,13,3,0,23961.600,5529.600
291,0291.tif,new_NDTiffStack.tif,13,2,0,23961.600,3686.400
292,0292.tif,new_NDTiffStack.tif,13,1,0,23961.600,1843.200
293,0293.tif,new_NDTiffStack.tif,13,0,0,23961.600,0.000
294,0294.tif,new_NDTiffStack.tif,14,0,0,25804.800,0.000
295,0295.tif,new_NDTiffStack.tif,14,1,0,25804.800,1843.200
296,0296.tif,new_NDTiffStack.tif,14,2,0,25804.800,3686.400
297,0297.tif,new_NDTiffStack.tif,14,3,0,25804.800,5529.600
298,0298.tif,new_NDTiffStack.tif,14,4,0,25804.800,7372.800
299,0299.tif,new_NDTiffStack.tif,14,5,0,25804.800,9216.000
300,0300.tif,new_NDTiffStack.tif,14,6,0,25804.800,11059.200
301,0301.tif,new_NDTiffStack.tif,14,7,0,25804.800,12902.400
302,0302.tif,new_NDTiffStack.tif,14,8,0,25804.800,14745.600
303,0303.tif,new_NDTiffStack.tif,14,9,0,25804.800,16588.800
304,0304.tif,new_NDTiffStack.tif,14,10,0,25804.800,18432.000
305,0305.tif,new_NDTiffStack.tif,14,11,0,25804.800,20275.200
